features_csv,model,accuracy,f1,precision,recall,auc,train_time
Covid19-XRAYS_vgg16.csv,NB,0.7321428571428571,0.7300170068027211,0.7337333718912665,0.7321428571428571,0.7927971188475391,0.0052700042724609375
Covid19-XRAYS_resnet50.csv,NB,0.7321428571428571,0.7304545454545455,0.7330398916523023,0.7321428571428571,0.7705882352941176,0.00879812240600586
Covid19-XRAYS_inceptionv3.csv,NB,0.7142857142857143,0.7103223174214606,0.7181548878544223,0.7142857142857143,0.757983193277311,0.009447097778320312
Iris_resnet50.csv,SVM,0.6771653543307087,0.6160773717718274,0.6830728017404903,0.6771653543307087,0.6884884795426318,0.4269688129425049
Iris_vgg16.csv,SVM,0.6456692913385826,0.6045792663013897,0.6174353205849269,0.6456692913385826,0.6368967320053773,0.1280350685119629
Covid19-XRAYS_vgg16.csv,Tree,0.6428571428571429,0.6406060606060606,0.642083230731347,0.6428571428571429,0.6380952380952382,0.17978811264038086
Covid19-XRAYS_resnet50.csv,Tree,0.6383928571428571,0.6387176863958478,0.6396780303030303,0.6383928571428571,0.638375350140056,0.742933988571167
Iris_resnet50.csv,kNN,0.6377952755905512,0.583012229854247,0.5895929076442727,0.6377952755905512,0.7256795092928431,0.01645803451538086
Covid19-XRAYS_inceptionv3.csv,Tree,0.6116071428571429,0.608182578291274,0.6103078358208955,0.6116071428571429,0.6058823529411763,0.8013718128204346
Iris_inceptionv3.csv,SVM,0.5984251968503937,0.5412987344193311,0.557887259505406,0.5984251968503937,0.6724355797796746,0.4205150604248047
Iris_inceptionv3.csv,kNN,0.5984251968503937,0.5588408636814473,0.5732836027075563,0.5984251968503937,0.6378629261507552,0.009599924087524414
Iris_vgg16.csv,kNN,0.5905511811023622,0.5397599399849962,0.521322087703464,0.5905511811023622,0.6136399165193461,0.002824068069458008
Iris_vgg16.csv,Tree,0.49606299212598426,0.498342171514275,0.5021151937735905,0.49606299212598426,0.5268419838773685,0.09132504463195801
Iris_resnet50.csv,Tree,0.4881889763779528,0.4820668757868681,0.4790926657313048,0.4881889763779528,0.5166095418766349,0.5562918186187744
Iris_inceptionv3.csv,Tree,0.4881889763779528,0.48780864371867433,0.4875140607424072,0.4881889763779528,0.537718887313286,0.7599492073059082
Iris_resnet50.csv,NB,0.47244094488188976,0.48207713767694477,0.5007814812622107,0.47244094488188976,0.5732343658480613,0.00542902946472168
Iris_inceptionv3.csv,NB,0.4645669291338583,0.48323290035114697,0.5549453888853682,0.4645669291338583,0.6617718705042228,0.004787921905517578
Iris_vgg16.csv,NB,0.44881889763779526,0.4596682365071072,0.5141562949792566,0.44881889763779526,0.5553214357555926,0.002374887466430664
